factor_type,value,unit,region,effective_date,expiry_date,data_source,description
电力,0.5366,kgCO2/kWh,中国,2021-01-01,2021-12-31,生态环境部公告2024年第12号,2021年全国电力平均二氧化碳排放因子
电力,0.5568,kgCO2/kWh,中国,2022-01-01,2022-12-31,生态环境部公告2024年第33号,2022年全国电力平均二氧化碳排放因子
CH4,27.9,kgCO2/kgCH4,通用,2020-01-01,,IPCC AR6,甲烷全球变暖潜能值(GWP)
N2O,273,kgCO2/kgN2O,通用,2020-01-01,,IPCC AR6,氧化亚氮全球变暖潜能值(GWP)
PAC,1.62,kgCO2/kg,通用,2020-01-01,,T/CAEPI 49-2022,聚合氯化铝排放因子
PAM,1.5,kgCO2/kg,通用,2020-01-01,,T/CAEPI 49-2022,聚丙烯酰胺排放因子
次氯酸钠,0.92,kgCO2/kg,通用,2020-01-01,,T/CAEPI 49-2022,次氯酸钠排放因子
臭氧,0.8,kgCO2/kg,通用,2020-01-01,,研究文献,臭氧排放因子
